noisy,ideal,mitigated,mae_noisy,mae_mitigated
"[0.61376953125, 0.18994140625, 0.148193359375, 0.048095703125]","[0.745849609375, 0.103759765625, 0.1396484375, 0.0107421875]","[0.9164811372756958, 0.032092850655317307, 0.020853877067565918, 0.030572131276130676]",0.0660400390625,0.09523073676973581
"[0.3056640625, 0.54443359375, 0.087890625, 0.06201171875]","[0.299560546875, 0.61328125, 0.06298828125, 0.024169921875]","[0.8614138960838318, 0.05403917655348778, 0.03369096294045448, 0.05085592716932297]",0.034423828125,0.2942696865648031
"[0.490478515625, 0.097412109375, 0.355224609375, 0.056884765625]","[0.578369140625, 0.01904296875, 0.3955078125, 0.007080078125]","[0.9077296853065491, 0.03445785120129585, 0.023814834654331207, 0.03399765491485596]",0.0640869140625,0.18584649544209242
"[0.6865234375, 0.075927734375, 0.0615234375, 0.176025390625]","[0.83837890625, 0.01318359375, 0.01025390625, 0.13818359375]","[0.9263907074928284, 0.02888808399438858, 0.01811623014509678, 0.026604995131492615]",0.075927734375,0.05578930350020528
"[0.084228515625, 0.507568359375, 0.064697265625, 0.343505859375]","[0.016357421875, 0.592041015625, 0.013671875, 0.3779296875]","[0.8242639303207397, 0.07088333368301392, 0.042865876108407974, 0.061986833810806274]",0.0594482421875,0.4185502612963319
"[0.11328125, 0.704833984375, 0.0517578125, 0.130126953125]","[0.030517578125, 0.842041015625, 0.013916015625, 0.113525390625]","[0.8174144625663757, 0.07205437123775482, 0.04382036626338959, 0.06671080738306046]",0.068603515625,0.4084006156772375
"[0.256591796875, 0.5771484375, 0.08203125, 0.084228515625]","[0.2197265625, 0.6806640625, 0.048583984375, 0.051025390625]","[0.8516629934310913, 0.05797648802399635, 0.03597676381468773, 0.05438365787267685]",0.0517578125,0.317647373303771
"[0.727783203125, 0.1044921875, 0.120361328125, 0.04736328125]","[0.881103515625, 0.013916015625, 0.098876953125, 0.006103515625]","[0.9295129179954529, 0.027073632925748825, 0.017512643709778786, 0.02590080536901951]",0.07666015625,0.04068215470761061
"[0.5517578125, 0.1630859375, 0.075439453125, 0.209716796875]","[0.67333984375, 0.099853515625, 0.029296875, 0.197509765625]","[0.9102060198783875, 0.035392723977565765, 0.022200681269168854, 0.03220055624842644]",0.060791015625,0.1184330927208066
"[0.208740234375, 0.5966796875, 0.0537109375, 0.140869140625]","[0.1416015625, 0.711669921875, 0.022705078125, 0.1240234375]","[0.8419179916381836, 0.062319476157426834, 0.0381411649286747, 0.0576213113963604]",0.0574951171875,0.35787627194076777
"[0.764892578125, 0.084716796875, 0.070068359375, 0.080322265625]","[0.953369140625, 0.004638671875, 0.028564453125, 0.013427734375]","[0.9330467581748962, 0.025976432487368584, 0.01645004004240036, 0.02452675625681877]",0.09423828125,0.01621839450672269
"[0.240478515625, 0.077880859375, 0.06640625, 0.615234375]","[0.223876953125, 0.02587890625, 0.00048828125, 0.749755859375]","[0.8739423155784607, 0.0522172637283802, 0.031026272103190422, 0.04281415045261383]",0.0672607421875,0.35347085492685437
"[0.14013671875, 0.65625, 0.0458984375, 0.15771484375]","[0.0517578125, 0.7978515625, 0.008544921875, 0.141845703125]","[0.8256258368492126, 0.06897437572479248, 0.04191310331225395, 0.06348664313554764]",0.07080078125,0.4036181131377816
